epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0128,1.86188,3.7789,1.76508,0.4151,0.02778,0.1132,0.06623,1.77408,3.84691,1.77107,7.69e-06,7.69e-06,7.69e-06
2,19.1579,1.85674,3.75657,1.82029,0.44444,0.03987,0.12483,0.07876,1.75378,3.77209,1.73686,2.23087e-05,2.23087e-05,2.23087e-05
3,28.6745,1.73536,3.7683,1.63087,0.44444,0.04159,0.13277,0.08622,1.68995,3.64791,1.67629,3.59123e-05,3.59123e-05,3.59123e-05
4,37.9144,1.74112,3.68582,1.59738,0.40642,0.04167,0.14597,0.09888,1.60949,3.48093,1.62376,4.85008e-05,4.85008e-05,4.85008e-05
5,47.116,1.68637,3.48291,1.54607,0.40605,0.05302,0.15883,0.10742,1.57456,3.27992,1.57495,6.00743e-05,6.00743e-05,6.00743e-05
6,55.9495,1.62018,3.3049,1.55197,0.33889,0.09768,0.17715,0.11824,1.58158,3.09406,1.58616,7.06327e-05,7.06327e-05,7.06327e-05
7,64.5415,1.55607,3.14482,1.48293,0.45768,0.17384,0.20998,0.1367,1.60485,2.89143,1.61201,8.01759e-05,8.01759e-05,8.01759e-05
8,73.4745,1.56067,2.99506,1.42379,0.55111,0.19874,0.22523,0.14042,1.61634,2.68562,1.63075,8.87042e-05,8.87042e-05,8.87042e-05
9,82.0674,1.56302,2.83302,1.52998,0.67139,0.21504,0.23399,0.143,1.61472,2.56999,1.63893,9.62173e-05,9.62173e-05,9.62173e-05
10,90.7072,1.54661,2.53678,1.42641,0.7748,0.22409,0.23457,0.14434,1.59859,2.47594,1.62486,0.000102715,0.000102715,0.000102715
11,99.6325,1.46772,2.44175,1.42169,0.7682,0.24395,0.23665,0.1489,1.58895,2.41308,1.62021,0.000108198,0.000108198,0.000108198
12,108.822,1.55145,2.46896,1.45924,0.77353,0.22474,0.23911,0.15128,1.57803,2.37999,1.60794,0.000112666,0.000112666,0.000112666
13,117.647,1.44918,2.28343,1.33814,0.91092,0.22382,0.23947,0.14807,1.57255,2.39996,1.60355,0.000116119,0.000116119,0.000116119
14,126.244,1.52391,2.30473,1.43331,0.91964,0.22356,0.24269,0.15014,1.53921,2.42072,1.57843,0.000118557,0.000118557,0.000118557
15,135.217,1.44046,2.20604,1.33723,0.92199,0.22423,0.24654,0.15314,1.52514,2.44816,1.56844,0.000119979,0.000119979,0.000119979
16,143.986,1.46653,2.12924,1.34857,0.91725,0.23306,0.24784,0.15212,1.52222,2.49409,1.55959,0.000120387,0.000120387,0.000120387
17,153.687,1.52714,2.11039,1.41173,0.91848,0.24142,0.25366,0.15393,1.52037,2.50739,1.5511,0.000119779,0.000119779,0.000119779
18,162.673,1.44144,1.94186,1.3613,0.9224,0.24434,0.2545,0.15382,1.52671,2.49758,1.54246,0.000118157,0.000118157,0.000118157
19,172.652,1.50809,2.03992,1.33402,0.91456,0.25414,0.25536,0.15511,1.52297,2.47255,1.53659,0.000115519,0.000115519,0.000115519
20,181.868,1.4582,1.84061,1.34524,0.91645,0.25463,0.25638,0.15583,1.51272,2.43802,1.52748,0.000111866,0.000111866,0.000111866
21,191.268,1.49984,1.88546,1.47429,0.9126,0.25463,0.26131,0.16077,1.49814,2.36608,1.51565,0.000107199,0.000107199,0.000107199
22,200.964,1.42734,1.85828,1.43593,0.90208,0.25992,0.26063,0.1601,1.48292,2.27766,1.49915,0.000101516,0.000101516,0.000101516
23,210.324,1.44839,1.79721,1.31831,0.89923,0.26521,0.2621,0.16243,1.48569,2.19931,1.49782,9.48177e-05,9.48177e-05,9.48177e-05
24,219.284,1.37518,1.72573,1.39118,0.91194,0.25132,0.26307,0.16496,1.484,2.13232,1.4933,8.71046e-05,8.71046e-05,8.71046e-05
25,228.157,1.37886,1.66328,1.38638,0.91312,0.2604,0.26724,0.17317,1.48011,2.07657,1.49544,7.83765e-05,7.83765e-05,7.83765e-05
26,237.128,1.4214,1.68969,1.37877,0.91493,0.26388,0.26317,0.17194,1.48253,2.0344,1.50084,6.86332e-05,6.86332e-05,6.86332e-05
27,246.148,1.3765,1.58616,1.32427,0.91581,0.26927,0.26346,0.17409,1.49021,1.9886,1.50786,5.78749e-05,5.78749e-05,5.78749e-05
28,255.166,1.31754,1.62037,1.31116,0.91581,0.26927,0.26346,0.17409,1.49021,1.9886,1.50786,4.61015e-05,4.61015e-05,4.61015e-05
29,263.886,1.33166,1.59876,1.34737,0.91579,0.26851,0.26345,0.17374,1.49115,1.96843,1.51113,3.33131e-05,3.33131e-05,3.33131e-05
30,272.745,1.34912,1.56302,1.28259,0.9152,0.26745,0.26329,0.17302,1.50219,1.94903,1.51477,1.95095e-05,1.95095e-05,1.95095e-05
